Trading_date,Trading_period,Node,Price
1/04/2020,2,STU0111,57.2
1/04/2020,2,SVL0331,60.26
1/04/2020,2,SWN0251,59.97
1/04/2020,2,SWN2201,59.93
1/04/2020,2,TAK0331,59.83
1/04/2020,2,TGA0111,57.35
1/04/2020,2,TGA0331,57.43
1/04/2020,2,THI2201,56.07
1/04/2020,2,TIM0111,57.49
1/04/2020,2,TKA0111,57.23
1/04/2020,2,TKA0331,57.27
1/04/2020,2,TKB2201,55.64
1/04/2020,2,TKR0331,57.31
1/04/2020,2,TKU0331,56.91
1/04/2020,2,TKU2201,56.87
1/04/2020,2,TMI0331,57.76
1/04/2020,2,TMK0331,58.15
1/04/2020,2,TMN0551,58.3
1/04/2020,2,TMU0111,58.83
1/04/2020,2,TMU1101,58.8
1/04/2020,2,TNG0111,56.64
1/04/2020,2,TNG0551,56.62
1/04/2020,2,TRK0111,56.97
1/04/2020,2,TRK2201,56.76
1/04/2020,2,TUI1101,57.26
1/04/2020,2,TWC2201,57.49
1/04/2020,2,TWH0331,58.61
1/04/2020,2,TWI2201,59.87
1/04/2020,2,TWZ0331,55.61
1/04/2020,2,UHT0331,57.26
1/04/2020,2,WAI0111,56.6
1/04/2020,2,WAI0501,56.65
1/04/2020,2,WDV0111,58.08
1/04/2020,2,WDV1101,58.06
1/04/2020,2,WEL0331,61.65
1/04/2020,2,WGN0331,57.98
1/04/2020,2,WHI0111,56.35
1/04/2020,2,WHI2201,56.33
1/04/2020,2,WHU0331,59.52
1/04/2020,2,WIL0331,57.27
1/04/2020,2,WIR0331,60.6
1/04/2020,2,WKM2201,56.59
1/04/2020,2,WKO0331,59.5
1/04/2020,2,WPA2201,56.55
1/04/2020,2,WPR0331,58.73
1/04/2020,2,WPR0661,58.55
1/04/2020,2,WPW0331,58.74
1/04/2020,2,WRD0331,60.2
1/04/2020,2,WRK0331,55.88
1/04/2020,2,WRK2201,56.04
1/04/2020,2,WTK0111,54.9
1/04/2020,2,WTK0331,54.96
1/04/2020,2,WTK2201,55.17
1/04/2020,2,WTU0331,56.57
1/04/2020,2,WVY0111,58.29
1/04/2020,2,WWD1102,57.42
1/04/2020,2,WWD1103,57.42
1/04/2020,3,ABY0111,43.11
1/04/2020,3,ALB0331,45.76
1/04/2020,3,ALB1101,45.74
1/04/2020,3,APS0111,42.96
1/04/2020,3,ARA2201,42.57
1/04/2020,3,ARG1101,46.88
1/04/2020,3,ARI1101,44.59
1/04/2020,3,ARI1102,44.37
1/04/2020,3,ASB0661,43.85
1/04/2020,3,ASY0111,45.58
1/04/2020,3,ATI2201,42.99
1/04/2020,3,ATU1101,46.73
1/04/2020,3,AVI2201,41.94
1/04/2020,3,BAL0331,45.58
1/04/2020,3,BDE0111,44.82
1/04/2020,3,BEN2201,42.03
1/04/2020,3,BEN2202,42.03
1/04/2020,3,BLN0331,47.76
1/04/2020,3,BOB0331,46.24
1/04/2020,3,BOB1101,46.21
1/04/2020,3,BPD1101,42.43
1/04/2020,3,BPE0331,43.76
1/04/2020,3,BPE0551,43.75
1/04/2020,3,BPE2201,43.72
1/04/2020,3,BPT1101,42.51
1/04/2020,3,BRB0331,46.24
1/04/2020,3,BRK0331,43.96
1/04/2020,3,BRY0661,44.38
1/04/2020,3,BWK1101,44.26
1/04/2020,3,CBG0111,44.43
1/04/2020,3,CLH0111,41.52
1/04/2020,3,CML0331,42.56
1/04/2020,3,COL0111,40.57
1/04/2020,3,COL0661,40.56
1/04/2020,3,CPK0111,43.72
1/04/2020,3,CPK0331,43.68
1/04/2020,3,CST0331,44.37
1/04/2020,3,CUL0331,45.2
1/04/2020,3,CUL0661,45.25
1/04/2020,3,CYD0331,42.43
1/04/2020,3,CYD2201,42.48
1/04/2020,3,DOB0331,46.74
1/04/2020,3,DOB0661,46.7
1/04/2020,3,DVK0111,44.26
1/04/2020,3,EDG0331,42.91
1/04/2020,3,EDN0331,46.14
1/04/2020,3,FHL0331,43.2
1/04/2020,3,FKN0331,42.79
1/04/2020,3,GFD0331,43.49
